Run	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[clinical information]	Sample Characteristic Ontology Term[clinical information]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[clinical information]	Factor Value Ontology Term[clinical information]	Analysed
SRR886605	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886606	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886607	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886608	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886609	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886610	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886611	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886612	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886613	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886614	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886615	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886616	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
